643,Good Luck Charm,Elvis Presley,,
657,Muntik Ng Maabot Ang Langit,True Faith,,q
662,WHY DO FOOLS FALL IN LOVE,FRANKIE LYNON,,
663,SEPTEMBER MORN',NEIL DIAMOND,,
669,Footloose,Kenny Loggins,,
689,I COULD EASILY FALL IN LOVE,CLIFF RICHARD,,
694,The Next Time I Fall,Peter Cetera And Amy Grant,,
701,Two Steps Behind,Def Leppard,,
706,How Sweet It Is (To Be Loved By You),James Taylor,,
708,I Can See Clearly..,Hothouse Flowers,,
727,First Time,Styx,,
741,Leader Of The Band,Dan Fogelberg,,
749,Mahal Na Mahal Kita,Aegis,,
750,POOR BOY,ELVIS PRESLEY,,
751,"WHEN IT RAINS, IT REALLY POURS",ELVIS PRESLEY,,
752,Smoke On The Water,Deep Purple,,
761,THE LOGICAL SONG,SUPERTRAMP,,
767,WEAR MY RING AROUND...,ELVIS PRESLEY,,
775,I Want You,Elvis Presly,,
784,AN OLD FASHIONED LOVE SONG,TREE DOG NIGHTS,,
800,Do You Think I'm Sexy,Rod Stewart,,
802,All I've Got To Do,BEATLES,,
803,OLD TIME ROCK AND ROLL,BOB SEEGER,,
805,EYE OF THE TIGER,SURVIVOR,,
806,Can't Help Fallin' I Love With You,Elvis Presley,,
809,LIGHT MY FIRE,DOORS,,
812,LAYLA,ERIC CLAPTON,,
816,Obladi Oblada,Beatles,,
819,BAD MOON RISING,J.C FOGETTY,,
820,Born To Be Wild,Stephen Wolffe,,
821,Bus Stop,Till Dawn,,
828,DANCING IN THE DARK,Bruce Springsteen,,
829,Fun Fun Fun,Beach Boys,,
830,AFTER MIDNIGHT,ERIC CLAPTON,,
831,Give Peace A Chance,John Lennon,,
832,Hound Dog,Elvis Presley,,
833,Wanted Dead Or Alive,Bon Jovi,,
834,Viva Las Vegas,Elvis Presley,,
836,THE MIDNIGHT SPECIAL,CCR,,
837,Manic Monday,Bangles,,
841,Last Train To Clarksville,The Monkees,,
842,Here I Go Again,White Snake,,
843,Heartache Tonight,Eagles,,
844,GLORY DAYS,BRUCE SPRINGSTEEN,,
846,Walk Of Life,Dire Straits,,
847,Gimme Shelter,Rollin' Stones,,
848,AT THE HOP,DANNY AND JRS.,,
852,AND WHEN I DIE,BLOOD SWEAT AND TEARS,,
855,Color My World,Chicago,,
859,Dude Looks Like A Lady,Aerosmith,,
862,Faith,George Michael,,
863,For My Lady,Moody Blues,,q
871,I Can Dream About You,Dan Hartman,,
872,I Understand,Herman's Hermit,,
879,Knockin' On Heaven's Door,Guns N' Roses,,
887,Lucille,Little Richard,,
888,Make Me Smile,Chicago,,
896,Open Arms,Journey,,
897,MY OLD SCHOOL,STEELY DAN,,
898,ONLY THE LONELY,ROY ORBISON,,
899,Paradise City,Guns N' Roses,,
901,Poor Man's Moody Blues,B.J. Harvest,,
903,Private Dancer,Tina Turner,,
904,Purple Rain,Prince,,
907,Raspberry Beret,Prince,,
908,Reelin' In The Years,Steely Dan,,
910,Sea Of Heartbreak,Poco,,
912,She's Gone,Black Sabbath,,
919,Final Countdown,Europe,,
921,Up Where We Belong,Joe Cocker,,
925,Willie And The..,Eric Clapton,,
929,COCAINE,ERIC CLAPTON,,
930,Don't Let Me Be Misunderstood,David Soul,,
932,Midnight Rider,Allman Brothers,,
933,Don't Lose My Number,Phil Collins,,
934,THE HEART OF ROCK AND ROLL,HUEY LEWIS,,
935,JOHNNY B GOOD,CHUCK BERRY,,
937,Legs,Aegis,,
939,Owner Of A Lonely Heart,Yes,,
940,CHERRY CHERRY,NEIL DIAMOND,,
944,Devil With A Blue Dress On,Mitch Ryder,,q
945,INVISIBLE TOUCH,GENESIS,,
947,Pinball Wizard,Elton John,,
948,All I've Got To Do,BEATLES,,
949,FEELING ALL RIGHT,JOE COCKER,,
952,Burning Love,elvis Presley,,
968,Black Or White,Michael Jackson,,
970,Heart And Soul,Huey Lewis,,
971,HELP ME RHONDA,BEACH BOYS,,
973,IF THIS IS IT,HUEY LEWIS,,
974,I'll Supply The Love,TOTO,,
976,BABY FACE,U2,,
980,Man In The Mirror,Michael Jackson,,
982,ONE NIGHT,ELVIS PRESLEY,,
998,Down In Brazil,Michael Franks,,
1006,Fever,Elvis Presley,,
1009,Girl,Immaculate,,
1010,Gold,Spandau Ballet,,
1012,Hand In My Pocket,Alanis Morissette,,
1018,Ironic,Alanis Morissette,,
1024,More Than You'll Ever Know,Michael Ruff,,
1026,My Life,Billy Joel,,
1033,RIP IT UP,ELVIS PRESLEY,,
1036,Summer Nights,Olivia Newton John,,
1039,Song Sung Blue,Neil Diamond,,
1080,No Touch,Mike Hanopol,,
1082,PARA SA `YO,PRETTIER THAN PINK,,
1110,Pagsubok,Orient Pearl,,
1127,Long Hair,Weed,,
1135,Ang Himig Natin,Juan dela Cruz Band,,
1182,ALWAYS IN MY HEART,TEVIN CAMPBELL,,
1184,Pagibig,APO,,
