#,Title,Artist,opm,english,k-pop,rock,slow rock,alternative,country,pop,edm/techno,hiphop/rap,rnb/soul,love song,power ballad,reggae/ska,novelty,folk,,
69,Surfin' U.S.A,Beach Boys,,q,,,,,,q,,,,,,,,,,
70,That's What Friends Are For,Dionne Warwick,,q,,,,,,q,,,q,,,,,,,
71,Five Hundred Miles,Peter Paul & Mary,,q,,,,,,,,,,,,,,,,
72,GROOVY KIND OF LOVE,PHIL COLLINS,,q,,,,,,q,,,,,,,,,,
73,A Summer Place,Letterman,,,,,,,,,,,,,,,,,,
74,59th St. Bridge Song,S.R.Contreras,,q,,,,,,q,,,q,,,,,,,
75,A Hazy Shade of Winter,Bangles,,q,,q,,,,,,,,,,,,,,
76,Tayong Dalawa,Rey Valera,q,,,,q,,,q,,,,,,,,,,
77,I've Gotta Get A Message To You,Bee Gees,,q,,,q,,,q,,,,,,,,,,
78,You Don't Know Me,,,,,,,,,,,,,,,,,,,
79,Zombie,Cranberries,,q,,,,q,,,,,,,,,,,,
80,25 Minutes,Michael Learns To Rock,,q,,,q,,,q,,,,,,,,,,
81,A Big Hunk of Love,Elvis Presley,,q,,q,,,,,,,,,,,,,,
82,A Cana y a Cafe,Julio Iglesias,,,,,,,,,,,,,,,,,,
83,LUPANG HINIRANG,PHILIPPINE NATIONAL ANTHEM,,,,,,,,,,,,,,,,,,
84,A Man Without Love,Engelbert Humperdinck,,q,,,,,,q,,,,,,,,,,
85,No More Rhyme,Debbie Gibson,,q,,,q,,,q,,,,,,,,,,
86,Yakap-Yakap,Randy Santiago,q,,,q,,,,q,,,,,,,,,,
87,Oh Come All Ye Faithful,Christmas Song,,,,,,,,,,,,,,,,,,
88,A Horse With No Name,Daryll Hall,,q,,,q,,,,,,,,,,,,,
89,18 and Life,Skidrow,,q,,q,,,,,,,,,,,,,,
90,25 OR 6 TO 4,CHICAGO,,q,,q,,,,,,,,,,,,,,
91,My Sharona,The Knacks,,q,,,,,,,,,,,,,,,,
92,1999,Prince,,q,,q,,,,,,,q,,,,,,,
93,Tanging Mahal,Regine Velasquez,q,,,,,,,q,,,,,,,,,,
94,Gaano Ko Ikaw Kamahal,Celeste Legaspi,q,,,,,,,q,,,,,,,,q,,
95,Umiiyak Ang Puso,Aprl Boy Regino,q,,,,,,,,,,,,,,,,,
96,Rain,Donna Cruz,q,,,,,,,q,,,,,,,,,,
97,Inaamin Ko Na,April Boy Regino,q,,,,,,,q,,,,,,,,,,
98,Special Memory,Odette Quesada,q,,,,,,,q,,,,,,,,,,
99,Nasaan Ka Kailangan Kita,April boY Regino,q,,,,,,,q,,,,,,,,,,
100,Nasaan Ka Kailangan Kita,April boY Regino,q,,,,,,,q,,,,,,,,,,
101,Why Can't It Be,Rannie Raymundo,q,,,,,,,q,,,,,,,,,,
102,Kasalanan,Orient Pearl,q,,,q,q,q,,,,,,,,,,,,
103,Nosi Balasi,Sampaguita,q,,,q,,,,q,,,,,,,,,,
104,Isang Linggong Pag-ibig,Imelda Papin,q,,,,,,,,,,,,,,,,,
105,Next In Line,After Image,q,,,q,,q,,,,,,,,,,,,
