3313,Ain't Nothing Wrong With The Radio,Aaron Tippon
3338,Behind Closed Doors,Charlie Rich
3354,Achy Breaky Song,Weird Al Yankovich
3386,COTTON EYE JOE,REDNEX
3392,THE DEVIL WENT DOWN TO GEORGIA,CHARLIE DANIELS BAND
3410,Total Eclipse Of The Heart,Bonnie Tyler
3414,El Paso,Marty Robbins
3419,Faded Love,Lefty Frizel
3444,Good Lovin',Billy Shirril
3465,Hey Good Lookin',Hank Williams
3536,MARGARITAVILLE,JIMMY BUFFET
3562,Oakie From Muskogee,Merle Haggard
3577,Pretty Paper,Roy Orbison
3581,Put Your Hand In Hand,Anne Murray
3601,Rose Garden,Lynn Anderson
3629,SON OF A SON OF A..,JIMMY BUFFET
3648,Sweet home Alabama,Lynard Skynard
3655,Tequila Sunrise,The Eagles
3666,These Boots Are Made For Walkin',Nancy Sinatra
3675,Try A Little Kindness,Glen Campbell
3677,Don't Think Twice It's Alright,M. Johnson
3805,Don't Fall In Love With A Dreamer,Kenny Rogers & Kim Carnes
3809,Down In The Valley,Justine Tyler
3812,DREAMS OF THE EVERYDAY,GLEN CAMPBELL
3826,EVERGREEN TREE,CLIFF RICHARD
3833,Four Strong Winds,Neil Young
3873,I Went To Your Wedding,Patti Page
3878,IF YOU LOVE ME,Branda Lee
3899,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland
3918,Lady,Kenny Rogers
4099,SUNDAY MORNING,JOHNNY CASH
4100,SUNDAY SUNRISE,BRENDA LEE
4218,IN THE GHETTO,ELVIS PRESLY
4237,SAIL ON,LIONEL RICHIE
4289,From This Moment On,Shania Twain
4292,You're Still The One,Shania Twain
4294,How Do I Live,Trisha Yearwood
4340,When You Say Nothing At All,Allison Kraus
4397,A Very Special Love Song,Charlie Rich
4408,Amazed,Lonestar
4410,ANGEL OF THE MORNING,JUICE NEWTON
4517,HUSBANDS AND WIVES,R.  MI
4521,I DON'T CARE IF YOU LOVE,Raul
4529,I Love A Rainy Night,Eddie Rabbit
4565,IT'S YOUR LOVE,S.  Sm
4585,LADY DOWN ON LOVE,Randy Owen
4706,PUT IT OFF UNTIL TOMORRO,Dolly Parton
4723,RUMOR HAS IT,REBA MCENTIRE
4767,SWEET DREAMS,PATSY CLINE
4796,The Most Beautiful Girl,Charlie Rich
4814,THE WAYS TO LOVE A MAN,Billy Sherrill
4875,WHEN,Shania Twain
4886,WHY WOULD I SAY GOODBYE,K.Brooks
4900,YOU DECORATED MY LIFE,Debbie Hupp
5019,Tonight I Climbed The Wall,Alan Jackson
5085,Release Me,Engelbert Humperdink
5093,DANNY BOY,CONWAY TWITTY
5095,Release Me,Engelbert Humperdink
5154,Just Another Woman In Love,Anne Murray
5180,Mercury Blues,Alan Jackson
5226,You've Got A Way,Shania Twain
5233,Crying Time,Victor Wood
5240,Fraulein,Victor Wood
5245,How Can You Mend A Broken Heart,Bee Gees
5279,The Love She Found In Me,Michael Johnson
5326,The One I love,Mike Mcklellan
5327,Tonight I Climbed The Wall,Alan Jackson
5333,You're The Best Thing That Ever Happen To Me,Ray Price
5340,Another Somebody,B.J.Thomas
5355,Don't Dream It's Over,Crystal Gale
5382,WHY ME,KRIS KRISTOFFERSON
5440,DON'T TELL ME,MADONNA
5444,I Love All The Way,Jannie Frickie
5736,BUGHAW NA BUHANGIN,VICTOR WOOD
5823,I CROSS MY HEART,GEORGE STRAIT
5923,ACHY BREAKY HEART,BILLY RAY CYRUS
5929,ANGEL OF THE MORNING,JUICE NEWTON
6010,SHE BELIEVES IN ME,KENNY ROGERS
6018,TAKE GOOD CARE OF HER,VICTOR WOOD
6020,Ten Guitars,E.Humperdinck
6115,I Honestly Love You,Olivia Newton John
